emg_value,weight
1860,8.5
2294,10.25
2130,10.0
2095,10.48
2638,12.77
3169,14.59
1466,7.12
2238,10.94
1330,5.94
2482,11.99
3135,15.08
1130,4.85
2685,13.07
1769,8.77
3391,16.82
2515,12.6
3433,15.79
2215,10.16
1955,9.64
3324,16.21
2184,10.74
1459,8.93
1021,5.19
3300,16.41
1747,8.86
1474,7.4
2082,9.84
3047,15.01
1975,9.09
2806,13.35
1189,5.46
1562,7.54
2899,15.07
2267,9.95
2528,12.48
1646,7.09
3068,14.49
3214,15.97
2297,11.06
3435,15.95
1600,7.32
3363,16.48
3061,14.33
1241,6.07
3041,14.62
2363,11.02
3139,16.14
2390,11.79
2478,10.88
1775,8.61
1034,4.63
3253,16.04
2955,13.79
2585,12.35
2021,9.95
2129,10.65
2500,11.4
1702,8.0
3449,16.32
2579,12.05
1161,6.46
1201,5.97
2981,13.68
1995,10.03
3317,16.98
1815,9.23
1455,6.22
2275,10.68
2016,10.31
3343,15.69
1337,6.64
1878,9.4
2076,9.5
1791,8.57
3264,14.05
1763,7.95
3235,15.4
1379,6.0
1492,7.98
2180,9.75
3062,14.48
1064,5.17
2367,12.08
2152,9.61
3027,15.11
2495,11.98
2162,9.89
2522,12.34
1391,6.78
2698,12.65
1418,6.84
3336,15.82
1378,6.67
2796,13.75
3278,16.53
3088,14.2
3182,16.34
1200,4.78
2863,13.67
1779,8.83
1502,7.35
3454,16.27
2751,13.1
1804,8.41
3146,14.81
2895,14.32
2570,12.51
1960,9.06
2485,12.38
2028,9.89
1502,7.62
1397,7.02
1870,8.56
1392,6.4
1206,6.16
2038,10.09
2881,13.82
2484,11.98
1863,9.58
1563,7.21
2020,9.97
1095,5.15
2923,13.92
2757,13.78
3278,16.15
2678,13.26
1540,8.04
2059,9.89
2183,10.82
2722,12.91
2819,13.69
2597,12.4
1795,8.66
2051,10.14
2643,12.28
2363,12.39
2981,13.81
2354,10.69
2663,13.36
2529,12.54
3038,14.89
2496,12.29
3237,15.53
2408,11.11
2400,11.56
2306,10.73
1972,9.95
2768,13.21
2282,10.54
1709,8.04
2479,12.11
2434,11.4
1648,7.5
1317,6.44
2257,10.96
1683,7.82
1663,7.75
2998,14.51
2631,11.9
2495,11.27
2136,9.89
2853,13.59
2520,12.25
3489,17.48
1563,7.93
2291,10.92
2636,12.64
1698,7.65
3160,15.16
1001,4.66
1641,8.04
3267,15.27
2589,12.69
1854,9.67
2759,13.19
3432,16.67
2661,13.12
2153,10.13
2076,10.08
2707,13.0
2695,12.98
2733,12.73
2439,11.72
3294,16.06
1835,9.53
1202,6.25
1122,6.46
1400,6.34
1766,8.91
1293,6.3
3327,17.06
1197,5.34
2930,13.64
3191,15.02
1608,6.66
2147,10.04
1186,5.31
2794,13.49
1659,8.13
2955,15.12
3450,17.04
2369,11.08
2986,13.88
2534,12.41
1146,4.84
2734,14.04
2843,14.24
1488,6.91
2959,13.35
2663,13.46
3385,16.19
1640,8.49
2802,12.65
2969,13.95
3198,15.35
2438,11.73
2634,12.42
1262,6.37
2787,12.84
3191,15.25
3393,16.35
1623,8.05
2016,10.03
1880,8.46
3049,13.87
2327,11.81
3301,16.01
1452,6.6
2183,11.25
3056,14.73
2682,13.46
3255,15.66
2154,11.37
1403,7.61
3199,15.23
3101,15.37
2696,13.26
1627,8.49
1586,7.13
2648,13.05
2443,12.26
2445,10.86
1103,4.7
1253,4.99
2496,11.85
1098,5.63
3200,16.11
2884,13.88
2919,14.83
1877,8.32
1337,5.57
1956,9.36
2704,13.17
1160,5.55
2603,11.46
1397,6.66
2300,10.39
1815,9.05
2527,12.31
2919,13.54
2415,11.34
2158,9.83
2218,10.62
1400,7.2
1639,7.37
1459,7.26
1954,9.11
1469,6.65
2045,9.76
2693,12.41
3085,14.53
3277,15.13
1562,8.48
3485,16.75
2799,13.09
3074,14.86
1225,5.82
1797,8.52
3331,16.3
1959,9.78
2504,11.75
1452,6.68
1815,8.57
1658,6.81
1546,6.66
2215,11.32
1016,5.7
2243,10.64
3205,15.67
2069,10.09
3146,16.64
2768,13.85
2060,9.82
3327,15.49
1301,5.44
1180,5.77
1606,7.33
1699,7.44
1992,9.24
2139,9.73
